id,word,base_probability
0,aahed,0.26002158495220473
1,aalii,0.202281837804502
2,aargh,0.20894233734196732
3,aarti,0.26521739130434785
4,abaca,0.1487049028677151
5,abaci,0.20666049953746535
6,aback,0.1719087264878199
7,abacs,0.2514646931853223
8,abaft,0.18543015726179465
9,abaka,0.1406413814369411
10,abamp,0.17903176071538698
11,aband,0.2007708911501696
12,abase,0.32291088498304044
13,abash,0.24733271662041323
14,abask,0.24340117175454826
15,abate,0.27095282146160965
16,abaya,0.14941412272587112
17,abbas,0.22019734813444344
18,abbed,0.2579710144927536
19,abbes,0.32291088498304044
20,abbey,0.2521276595744681
21,abbot,0.23666358310206598
22,abcee,0.25141843971631206
23,abeam,0.2506167129201357
24,abear,0.28425840271353686
25,abele,0.27212457600986745
26,abers,0.38701819303114404
27,abets,0.3737126117792168
28,abhor,0.277104532839963
29,abide,0.31592661116250387
30,abies,0.38086648165279063
31,abled,0.30994449583718775
32,abler,0.336231884057971
33,ables,0.37488436632747457
34,ablet,0.32292630280604384
35,ablow,0.253854455750848
36,abmho,0.24346284304656182
37,abode,0.32639531298180696
38,abohm,0.24346284304656182
39,aboil,0.295790934320074
40,aboma,0.21632747456059204
41,aboon,0.23137526981190257
42,abord,0.2877890841813136
43,abore,0.3526827012025902
44,abort,0.30077089115016964
45,about,0.2753777366635831
46,above,0.29927536231884055
47,abram,0.2120104841196423
48,abray,0.21352143077397473
49,abrim,0.26996608078939255
50,abrin,0.28501387604070305
51,abris,0.3422602528522973
52,absey,0.3548874498920752
53,absit,0.32895467160037006
54,abuna,0.20166512488436633
55,abune,0.3043786617329633
56,abuse,0.3616250385445575
57,abuts,0.3097132284921369
58,abuzz,0.16284304656182547
59,abyes,0.3548874498920752
60,abysm,0.2826395312981807
61,abyss,0.2521739130434783
62,acais,0.2843354918285538
63,acari,0.24568300955905026
64,accas,0.22637989515880358
65,accoy,0.22402096823928458
66,acerb,0.31552574776441566
67,acers,0.3932007400555041
68,aceta,0.27713536848596976
69,achar,0.21486278137526982
70,ached,0.29128893000308353
71,aches,0.35622880049337036
72,achoo,0.21917977181621956
73,acids,0.3221554116558742
74,acidy,0.2513721862473019
75,acing,0.2524360160345359
76,acini,0.2270891150169596
77,ackee,0.24953746530989823
78,acker,0.31364477335800184
79,acmes,0.359559050262103
80,acmic,0.2120413197656491
81,acned,0.30966697502312673
82,acnes,0.3746068455134135
83,acock,0.21524822695035462
84,acold,0.2818378045020043
85,acorn,0.3016651248843663
86,acred,0.3282608695652174
87,acres,0.3932007400555041
88,acrid,0.2835029293863706
89,acros,0.35891150169596053
90,acted,0.31495528831329017
91,actin,0.277890841813136
92,acton,0.2883595436324391
93,actor,0.30695343817452975
94,acute,0.3158495220474869
95,acyls,0.31032994141227255
96,adage,0.2582331174838113
97,adapt,0.21210299105766264
98,adaws,0.24895158803576933
99,adays,0.26490903484427997
100,adbot,0.2744835029293864
101,addax,0.13461301264261485
102,added,0.23288621646623497
103,adder,0.2969935245143386
104,addio,0.25655257477644156
105,addle,0.2848596978106691
106,adeem,0.2633518347209374
107,adept,0.31481652790625964
108,adhan,0.20282146160962072
109,adieu,0.32955596669750237
110,adios,0.35931236509404874
111,adits,0.3416897934011718
112,adman,0.20615171137835336
113,admen,0.3088652482269504
114,admin,0.2641073080481036
115,admit,0.26939562133826706
116,admix,0.2230342275670675
117,adobe,0.32639531298180696
118,adobo,0.22368177613321
119,adopt,0.280527289546716
120,adore,0.36541782300339193
121,adorn,0.3082176996608079
122,adown,0.26012950971322846
123,adoze,0.3080018501387604
124,adrad,0.1942799876657416
125,adred,0.2969935245143386
126,adsum,0.3021122417514647
127,aduki,0.2500462534690102
128,adult,0.2716620413197657
129,adunc,0.24566759173604685
130,adust,0.3224483502929386
131,advew,0.2596053037311132
132,adyta,0.21295097132284924
133,adzed,0.23957755164970707
134,adzes,0.34233734196731425
135,aecia,0.2842892383595436
136,aedes,0.33564600678384215
137,aegis,0.3811285846438483
138,aeons,0.41176379895158804
139,aerie,0.3171292013567684
140,aeros,0.4303576934936787
141,aesir,0.41988899167437554
142,afald,0.19933703361085417
143,afara,0.1736509404872032
144,afars,0.2764107308048104
145,afear,0.27636447733580016
146,affix,0.17193956213382672
147,afire,0.3343200740055504
148,aflaj,0.16600370027752084
149,afoot,0.22876965772432933
150,afore,0.3447887758248535
151,afoul,0.2686555658341042
152,afrit,0.28240826395312985
153,afros,0.3448350292938637
154,after,0.32716620413197656
155,again,0.2211686709836571
156,agama,0.14816527906259636
157,agami,0.20612087573234658
158,agape,0.2515417823003392
159,agars,0.2845667591736047
160,agast,0.2712611779216775
161,agate,0.27121492445266726
162,agave,0.23111316682084487
163,agaze,0.22710453283996299
164,agene,0.2659266111625038
165,agent,0.3167283379586802
166,agers,0.3872802960222017
167,agger,0.2845205057045945
168,aggie,0.2783687943262411
169,aggri,0.23976256552574776
170,aggro,0.25023126734505086
171,aggry,0.21378353376503237
172,aghas,0.24759481961147087
173,agila,0.22762873882207832
174,agile,0.3303422756706753
175,aging,0.2211686709836571
176,agios,0.3468393462843047
177,agism,0.3088806660499538
178,agist,0.32921677459142773
179,agita,0.22645698427382055
180,aglee,0.27238667900092506
181,aglet,0.3231884057971014
182,agley,0.30436324390995995
183,agloo,0.23809744064138144
184,aglow,0.25411655874190564
185,aglus,0.31114708603145236
186,agmas,0.25092506938020354
187,agoge,0.2888374961455442
188,agone,0.33435090965155717
189,agons,0.3343971631205674
190,agony,0.26361393771199504
191,agood,0.22394387912426764
192,agora,0.25023126734505086
193,agree,0.2845205057045945
194,agria,0.23976256552574776
195,agrin,0.2852759790317607
196,agros,0.35299105766265804
197,agued,0.2969472710453284
198,agues,0.3618871415356152
199,aguna,0.20192722787542397
200,aguti,0.26517113783533763
201,ahead,0.26002158495220473
202,aheap,0.25333024976873264
203,ahent,0.3185168054270737
204,ahigh,0.20279062596361394
205,ahind,0.260777058279371
206,ahing,0.24830403946962687
207,ahint,0.27375886524822696
208,ahold,0.2777058279370953
209,ahull,0.21017576318223868
210,ahuru,0.22230958988590813
211,aidas,0.2908880666049954
212,aided,0.29084181313598517
213,aider,0.35494912118408883
214,aides,0.3936016034535924
215,aidoi,0.25655257477644156
216,aidos,0.35931236509404874
217,aiery,0.3491057662658033
218,aigas,0.2784150477952513
219,aight,0.2535923527597903
220,ailed,0.34281529448041936
221,aimed,0.3213074313906877
222,aimer,0.3475948196114709
223,ainee,0.29853530681467777
224,ainga,0.2211686709836571
225,aioli,0.27070613629355533
226,aired,0.35494912118408883
227,airer,0.3171292013567684
228,airns,0.3626888683317916
229,airth,0.2923527597903176
230,airts,0.36797718162195503
231,aisle,0.4077551649707062
232,aitch,0.2595127967930928
233,aitus,0.3425840271353685
234,aiver,0.3278291705211224
235,aiyee,0.28499845821769965
236,aizle,0.3116867098365711
237,ajies,0.360268270120259
238,ajiva,0.1654949121184089
239,ajuga,0.16090040086339807
240,ajwan,0.1583718778908418
241,akees,0.32102991057662655
242,akela,0.27024360160345356
243,akene,0.2637835337650324
244,aking,0.24437249460376193
245,akita,0.22431390687634906
246,akkas,0.2183163737280296
247,alaap,0.17545482577860008
248,alack,0.1987974098057354
249,alamo,0.24321615787850756
250,aland,0.22765957446808513
251,alane,0.2925531914893617
252,alang,0.21518655565834105
253,alans,0.29259944495837187
254,alant,0.24064138143694114
255,alapa,0.17545482577860008
256,alaps,0.27821461609620723
257,alarm,0.23889916743755782
258,alary,0.24041011409189023
259,alate,0.29784150477952515
260,alays,0.27906259636139374
261,albas,0.2721708294788776
262,albee,0.27212457600986745
263,album,0.23859081097748996
264,alcid,0.2713691026827012
